cik,name
1985,Accel International Corp
1761,Tranzonic Companies
20,K Tron International Inc
1853,"Motivnation, Inc."
1923,"Servidyne, Inc."
1969,Ametech Inc
1952,Irex Corp
1961,Worlds Inc
1750,Aar Corp
1988,Access Corp
2062,Acmat Corp
2024,Ace Hardware Corp
2145,Action Industries Inc
2070,Acme Electric Corp
2178,"Adams Resources & Energy, Inc."
2310,Multigraphics Inc
2135,Affiliated Computer Services Inc
2034,Aceto Corp
2098,Acme United Corp
2491,"Bally Technologies, Inc."
2589,Aero Systems Engineering Inc
1800,Abbott Laboratories
2601,Aeroflex Inc
2186,Bk Technologies Corp
2880,Aic International Inc
2852,Agway Inc
3000,Airborne Inc /De/
3146,Spire Alabama Inc
3133,Amsouth Bancorporation
3153,Alabama Power Co
3202,Alaska Airlines Inc
3292,Alba Waldensian Inc
2969,"Air Products & Chemicals, Inc."
2488,Advanced Micro Devices Inc
3327,New Alberto-Culver Llc
3333,Albertsons Inc /De/
3116,Akorn Inc
3398,Aeire Corp
3197,Ceco Environmental Corp
3499,Alexanders Inc
3642,Allcity Insurance Co /Ny/
3650,Allegheny & Western Railway Co
3662,Sunbeam Corp/Fl/
3370,Ikon Office Solutions Inc
3721,Allen Telecom Inc
3753,Allen Organ Co
3453,"Matson, Inc."
3545,"Alico, Inc."
3845,Allied Capital Corp/Old
3941,Allied Products Corp /De/
3570,"Cheniere Energy, Inc."
3952,Allied Defense Group Inc
3673,"Allegheny Energy, Inc"
3959,Itis Holdings Inc
3982,Allis Chalmers Energy Inc.
4164,Alpine Group Inc /De/
4165,Asia Supernet Corp
4187,"Recycling Asset Holdings, Inc."
3906,Allied Capital Corp
4285,Alcan Inc
4310,Alza Corp
4317,Sento Corp
4127,"Skyworks Solutions, Inc."
4319,Apparel America Inc
4344,Bestway Inc
4427,Amdahl Corp
4438,Amelco Corp
4457,U-Haul Holding Co /Nv/
4458,U Haul International Inc
4507,Orange Co Inc /Fl/
4570,American Bancorporation /Wv/
4611,American Biltrite Inc
4811,American Consumers Inc
4672,American Business Products Inc
4828,American Crystal Sugar Co /Mn/
4281,Howmet Aerospace Inc.
4833,American Cytogenetics Inc
4515,"American Airlines, Inc."
4969,American Express Credit Corp
5009,American Filtrona Corp
5016,American Financial Corp
5103,American General Corp /Tx/
4447,Hess Corp
5117,Emtec Inc/Nj
5172,American Heritage Life Investment Corp
4977,Aflac Inc
5187,Wyeth
5207,American Housing Partners
5197,American Hospital Management Corp
